,LOC,ZC,CITY,LAT,LONG,num_calls,SPLIT_CITY,STATE
126,Club/Bar/Restaurant,10011,NEW YORK,40.73913663,-74.00108618,49,MANHATTAN,NY
127,Club/Bar/Restaurant,10002,NY,40.71522127,-73.99171409,184,MANHATTAN,NY
128,Club/Bar/Restaurant,11205,,40.69332462,-73.96710163,108,BROOKLYN,NY
129,Club/Bar/Restaurant,11226,,40.6395296,-73.95128856,287,BROOKLYN,NY
130,Club/Bar/Restaurant,11218,,40.63555239,-73.97802189,55,BROOKLYN,NY
131,Club/Bar/Restaurant,10030,NEW YORK,40.81726755,-73.9422565,120,MANHATTAN,NY
132,Club/Bar/Restaurant,10009,NEW YORK,40.72894882,-73.97836993,62,MANHATTAN,NY
133,Club/Bar/Restaurant,11205,,40.69355175,-73.96476476,16,BROOKLYN,NY
134,Club/Bar/Restaurant,10014,NEW YORK,40.73434974,-74.00300933,301,MANHATTAN,NY
135,Club/Bar/Restaurant,10024,NEW YORK,40.78536042,-73.97298193,186,MANHATTAN,NY
136,Club/Bar/Restaurant,11205,,40.69313307,-73.96920047,75,BROOKLYN,NY
137,Club/Bar/Restaurant,10003,NEW YORK,40.7296035,-73.98823774,183,MANHATTAN,NY
138,Club/Bar/Restaurant,10464,BRONX,40.85256252,-73.78944935,12,BRONX,NY
139,Club/Bar/Restaurant,11209,,40.63283667,-74.02723013,70,BROOKLYN,NY
140,Club/Bar/Restaurant,11106,ASTORIA,40.76115165,-73.92364989,42,QUEENS,NY
141,Club/Bar/Restaurant,10034,NEW YORK,40.8658736,-73.92765489,126,MANHATTAN,NY
142,Club/Bar/Restaurant,11355,FLUSHING,40.75548196,-73.81543034,16,QUEENS,NY
143,Club/Bar/Restaurant,11414,HOWARD BEACH,40.64998168,-73.83758618,399,QUEENS,NY
144,Club/Bar/Restaurant,11209,,40.62204852,-74.03163848,15,BROOKLYN,NY
145,Club/Bar/Restaurant,11205,,40.69357091,-73.96460248,36,BROOKLYN,NY
146,Club/Bar/Restaurant,10038,NEW YORK,40.70586461,-74.00376907,20,MANHATTAN,NY
147,Club/Bar/Restaurant,11416,OZONE PARK,40.68555676,-73.84149102,32,QUEENS,NY
148,Club/Bar/Restaurant,11226,,40.64595269,-73.95197214,42,BROOKLYN,NY
149,Club/Bar/Restaurant,10463,BRONX,40.87959654,-73.90430103,17,BRONX,NY
150,Club/Bar/Restaurant,10036,NEW YORK,40.7602542,-73.98904452,11,MANHATTAN,NY
151,Club/Bar/Restaurant,11226,,40.63980683,-73.95130637,26,BROOKLYN,NY
152,Club/Bar/Restaurant,11215,,40.66071028,-73.99409972,30,BROOKLYN,NY
153,Club/Bar/Restaurant,11249,,40.72100987,-73.95542824,102,BROOKLYN,NY
154,Club/Bar/Restaurant,11101,LONG ISLAND CITY,40.75624515,-73.92120466,129,QUEENS,NY
155,Club/Bar/Restaurant,11201,,40.68689522,-73.99090992,23,BROOKLYN,NY
156,Club/Bar/Restaurant,11358,FLUSHING,40.75803956,-73.79561736,15,QUEENS,NY
157,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,40.75578209,-73.883331,57,QUEENS,NY
158,Club/Bar/Restaurant,10001,NEW YORK,40.75045253,-73.98729207,15,MANHATTAN,NY
159,Club/Bar/Restaurant,10471,BRONX,40.88956351,-73.89903879,16,BRONX,NY
160,Club/Bar/Restaurant,10022,NEW YORK,40.7581599,-73.9625937,92,MANHATTAN,NY
161,Club/Bar/Restaurant,10029,NEW YORK,40.79578676,-73.94676079,11,MANHATTAN,NY
162,Club/Bar/Restaurant,11217,,40.67915413,-73.98342993,1513,BROOKLYN,NY
163,Club/Bar/Restaurant,10026,NEW YORK,40.80285303,-73.95650039,91,MANHATTAN,NY
164,Club/Bar/Restaurant,10012,NEW YORK,40.72951901,-73.99981238,120,MANHATTAN,NY
165,Club/Bar/Restaurant,10454,BRONX,40.80746061,-73.919309,76,BRONX,NY
166,Club/Bar/Restaurant,10003,NEW YORK,40.73321576,-73.98992216,65,MANHATTAN,NY
167,Club/Bar/Restaurant,10009,NEW YORK,40.72386918,-73.98388421,40,MANHATTAN,NY
168,Club/Bar/Restaurant,10009,NEW YORK,40.72277419,-73.98517963,26,MANHATTAN,NY
169,Club/Bar/Restaurant,11237,,40.70279083,-73.92937189,21,BROOKLYN,NY
170,Club/Bar/Restaurant,11215,,40.67301996,-73.98651012,19,BROOKLYN,NY
171,Club/Bar/Restaurant,11209,,40.62986376,-74.02845743,15,BROOKLYN,NY
172,Club/Bar/Restaurant,11004,GLEN OAKS,40.7378916,-73.71046402,44,QUEENS,NY
173,Club/Bar/Restaurant,10003,NEW YORK,40.73683863,-73.98783593,24,MANHATTAN,NY
174,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,40.74736158,-73.88645672,24,QUEENS,NY
175,Club/Bar/Restaurant,10310,STATEN ISLAND,40.6301397,-74.10879366,53,STATEN ISLAND,NY
176,Club/Bar/Restaurant,11201,,40.68598692,-73.99416238,11,BROOKLYN,NY
177,Club/Bar/Restaurant,10001,NEW YORK,40.7505438,-73.99836504,10,MANHATTAN,NY
178,Club/Bar/Restaurant,11216,,40.68282211,-73.93799942,,BROOKLYN,NY
179,Club/Bar/Restaurant,10014,NEW YORK,40.73416286,-74.00798156,57,MANHATTAN,NY
180,Club/Bar/Restaurant,11215,,40.66046172,-73.98033486,73,BROOKLYN,NY
181,Club/Bar/Restaurant,10016,NEW YORK,40.7440955,-73.98561878,38,MANHATTAN,NY
182,Club/Bar/Restaurant,10026,NEW YORK,40.80452411,-73.95530368,12,MANHATTAN,NY
183,Club/Bar/Restaurant,11232,,40.65162237,-74.00447957,17,BROOKLYN,NY
184,Club/Bar/Restaurant,11103,ASTORIA,40.76527581,-73.91791611,29,QUEENS,NY
185,Club/Bar/Restaurant,10307,STATEN ISLAND,40.51358865,-74.25123739,50,STATEN ISLAND,NY
186,Club/Bar/Restaurant,10002,NEW YORK,40.72136411,-73.99266213,78,MANHATTAN,NY
187,Club/Bar/Restaurant,11433,JAMAICA,40.70753056,-73.78659995,388,QUEENS,NY
188,Club/Bar/Restaurant,10040,NEW YORK,40.85359837,-73.93061428,18,MANHATTAN,NY
189,Club/Bar/Restaurant,11221,,40.69940259,-73.92745325,19,BROOKLYN,NY
190,Club/Bar/Restaurant,10034,NEW YORK,40.86618344,-73.91893043,87,MANHATTAN,NY
191,Club/Bar/Restaurant,10034,NEW YORK,40.8692067,-73.9169743,30,MANHATTAN,NY
192,Club/Bar/Restaurant,11102,ASTORIA,40.76743782,-73.92062464,112,QUEENS,NY
193,Club/Bar/Restaurant,10034,New York,40.86592029,-73.92770907,117,MANHATTAN,NY
194,Club/Bar/Restaurant,11211,,40.71758787,-73.95731359,38,BROOKLYN,NY
195,Club/Bar/Restaurant,11205,,40.69058524,-73.95831169,55,BROOKLYN,NY
196,Club/Bar/Restaurant,11219,,40.63367687,-74.00656803,14,BROOKLYN,NY
197,Club/Bar/Restaurant,11206,,40.70547174,-73.94290878,68,BROOKLYN,NY
198,Club/Bar/Restaurant,11225,,40.66820407,-73.9506476,146,BROOKLYN,NY
199,Club/Bar/Restaurant,10012,NEW YORK,40.72974957,-73.99961394,41,MANHATTAN,NY
200,Club/Bar/Restaurant,11385,RIDGEWOOD,40.70342134,-73.90874124,109,QUEENS,NY
201,Club/Bar/Restaurant,10012,NEW YORK,40.72933786,-74.0010319,99,MANHATTAN,NY
202,Club/Bar/Restaurant,10002,NEW YORK,40.71892321,-73.98452032,57,MANHATTAN,NY
203,Club/Bar/Restaurant,11374,REGO PARK,40.73211582,-73.86718968,20,QUEENS,NY
204,Club/Bar/Restaurant,11225,,40.66064331,-73.96062997,162,BROOKLYN,NY
205,Club/Bar/Restaurant,11238,,40.67904393,-73.96835251,11,BROOKLYN,NY
206,Club/Bar/Restaurant,11105,ASTORIA,40.77478495,-73.90877704,,QUEENS,NY
207,Club/Bar/Restaurant,11204,,40.61023813,-73.98370275,22,BROOKLYN,NY
208,Club/Bar/Restaurant,10014,NEW YORK,40.72959583,-74.00282511,25,MANHATTAN,NY
209,Club/Bar/Restaurant,11231,,40.68237476,-73.99342718,11,BROOKLYN,NY
210,Club/Bar/Restaurant,10012,NEW YORK,40.7212051,-73.99670626,,MANHATTAN,NY
211,Club/Bar/Restaurant,10011,NEW YORK,40.74173312,-74.00308184,91,MANHATTAN,NY
212,Club/Bar/Restaurant,10128,NEW YORK,40.78124208,-73.95223925,14,MANHATTAN,NY
213,Club/Bar/Restaurant,11226,,40.64018175,-73.95530567,642,BROOKLYN,NY
214,Club/Bar/Restaurant,11249,,40.71976847,-73.96084757,16,BROOKLYN,NY
215,Club/Bar/Restaurant,11211,,40.71134933,-73.95117114,13,BROOKLYN,NY
216,Club/Bar/Restaurant,11211,,40.71352894,-73.95887449,17,BROOKLYN,NY
217,Club/Bar/Restaurant,10009,NEW YORK,40.72630655,-73.98411452,11,MANHATTAN,NY
218,Club/Bar/Restaurant,10016,NEW YORK,40.74505782,-73.97860649,13,MANHATTAN,NY
219,Club/Bar/Restaurant,10013,NEW YORK,40.71461498,-73.99959599,74,MANHATTAN,NY
220,Club/Bar/Restaurant,11432,JAMAICA,40.71447021,-73.80246765,,QUEENS,NY
221,Club/Bar/Restaurant,10034,NEW YORK,40.86564533,-73.92693205,26,MANHATTAN,NY
222,Club/Bar/Restaurant,10002,NEW YORK,40.71823482,-73.98931116,40,MANHATTAN,NY
223,Club/Bar/Restaurant,10012,NEW YORK,40.72916768,-74.00119065,15,MANHATTAN,NY
224,Club/Bar/Restaurant,10014,NY,40.74011361,-74.00596145,110,MANHATTAN,NY
225,Club/Bar/Restaurant,10009,NEW YORK,40.72488931,-73.97828105,88,MANHATTAN,NY
226,Club/Bar/Restaurant,10128,NEW YORK,40.78131764,-73.94922052,35,MANHATTAN,NY
227,Club/Bar/Restaurant,11223,,40.59655143,-73.97703729,67,BROOKLYN,NY
228,Club/Bar/Restaurant,11225,,40.65778597,-73.95324671,65,BROOKLYN,NY
229,Club/Bar/Restaurant,11435,JAMAICA,40.70252976,-73.81356446,15,QUEENS,NY
230,Club/Bar/Restaurant,11216,,40.68321658,-73.95387066,106,BROOKLYN,NY
231,Club/Bar/Restaurant,11373,ELMHURST,40.74238268,-73.87090067,83,QUEENS,NY
232,Club/Bar/Restaurant,10014,NEW YORK,40.73941098,-74.00539123,16,MANHATTAN,NY
233,Club/Bar/Restaurant,10011,NEW YORK,40.74203508,-73.99834359,24,MANHATTAN,NY
234,Club/Bar/Restaurant,11231,,40.68261354,-73.99323967,25,BROOKLYN,NY
235,Club/Bar/Restaurant,10009,NEW YORK,40.72553423,-73.97780461,54,MANHATTAN,NY
236,Club/Bar/Restaurant,11231,,40.68138125,-74.00444551,34,BROOKLYN,NY
237,Club/Bar/Restaurant,10031,NEW YORK,40.82925663,-73.94837452,20,MANHATTAN,NY
238,Club/Bar/Restaurant,11231,,40.67786527,-73.99806758,23,BROOKLYN,NY
239,Club/Bar/Restaurant,10002,NEW YORK,40.71884964,-73.98921727,38,MANHATTAN,NY
240,Club/Bar/Restaurant,11225,,40.66217506,-73.95370139,18,BROOKLYN,NY
241,Club/Bar/Restaurant,10028,NEW YORK,40.77850171,-73.95632493,151,MANHATTAN,NY
242,Club/Bar/Restaurant,10465,BRONX,40.82837372,-73.8240774,13,BRONX,NY
243,Club/Bar/Restaurant,10034,NEW YORK,40.86797939,-73.92024792,42,MANHATTAN,NY
244,Club/Bar/Restaurant,11249,,40.72104319,-73.95643113,,BROOKLYN,NY
245,Club/Bar/Restaurant,10031,NEW YORK,40.82283051,-73.95306933,60,MANHATTAN,NY
246,Club/Bar/Restaurant,11205,,40.68947714,-73.96958077,32,BROOKLYN,NY
247,Club/Bar/Restaurant,10014,NEW YORK,40.73945487,-74.00597582,12,MANHATTAN,NY
248,Club/Bar/Restaurant,10019,NEW YORK,40.76516441,-73.9877369,17,MANHATTAN,NY
249,Club/Bar/Restaurant,11377,WOODSIDE,40.75739823,-73.90354533,32,QUEENS,NY
250,Club/Bar/Restaurant,10462,BRONX,40.83131818,-73.85090765,16,BRONX,NY
251,Club/Bar/Restaurant,11211,,40.71153872,-73.94507144,74,BROOKLYN,NY
252,Club/Bar/Restaurant,10019,NEW YORK,40.76568038,-73.98736136,55,MANHATTAN,NY
253,Club/Bar/Restaurant,11217,,40.68026692,-73.9746902,43,BROOKLYN,NY
254,Club/Bar/Restaurant,11373,ELMHURST,40.7463425,-73.89134499,65,QUEENS,NY
255,Club/Bar/Restaurant,10471,BRONX,40.88945854,-73.8982722,14,BRONX,NY
256,Club/Bar/Restaurant,11215,,40.67141401,-73.9844268,21,BROOKLYN,NY
